dB_65_cm,RMS_65_cm,X_cm,Y_cm,Circle,Side,Position,Depth,Ambient,PA,X_acc_ms^-2,Y_acc_ms^-2,Z_acc_ms^-2,X_RMS_V,Y_RMS_V,Z_RMS_V
113,2.565341344,285.658022,96.25,Inner,R,10,Middle,FALSE,-43.57542053,0.005281827017,0.004,4.05E-05,0.005435,0.00414,4.19E-05
148,150.0442229,77,0,Outer,L,6,Middle,FALSE,-15.00186616,0.1738571429,0.03711400966,0.002331400966,0.178899,0.038413,0.002413
116,3.726744123,285.658022,96.25,Inner,R,10,Bottom,FALSE,-43.76415738,0.005637512148,0.003200966184,6.84E-05,0.005801,0.003313,7.08E-05
121,6.495704659,396,77,Outer,R,3,Top,FALSE,-43.76616706,0.005665694849,0.003147826087,6.37E-05,0.00583,0.003258,6.59E-05
99,0.5592417129,77,0,Outer,L,6,Top,TRUE,-50.92925679,0.002120505345,0.001890821256,4.45E-05,0.002182,0.001957,4.61E-05
97,0.433792493,77,38.5,Inner,L,6,Top,TRUE,-48.65024384,0.002620019436,0.002603864734,2.13E-05,0.002696,0.002695,2.20E-05
152,250.3523121,77,38.5,Inner,L,6,Top,FALSE,-12.74407948,0.2159319728,0.08083091787,0.0007826086957,0.222194,0.08366,0.00081
115,3.251697127,396,77,Outer,R,3,Middle,FALSE,-43.79987592,0.005058309038,0.004012560386,3.16E-05,0.005205,0.004153,3.27E-05
115,3.375561807,280.5,10.31604391,Outer,R,7,Middle,FALSE,-43.86345553,0.005224489796,0.003713043478,1.69E-05,0.005376,0.003843,1.75E-05
138,48.13963761,77,0,Outer,L,6,Top,FALSE,-17.04606435,0.1370544218,0.0309352657,0.001097584541,0.141029,0.032018,0.001136
98,0.505929345,57.75,43.65802195,Inner,L,7,Bottom,TRUE,-49.80251864,0.002447035957,0.002115942029,4.35E-06,0.002518,0.00219,4.50E-06
152,236.3989746,57.75,43.65802195,Inner,L,7,Bottom,FALSE,-13.07104043,0.2160310982,0.05133623188,0.0008502415459,0.222296,0.053133,0.00088
115,3.561307097,357.5,77,Inner,R,3,Bottom,FALSE,-43.86503413,0.005459669582,0.003354589372,7.80E-05,0.005618,0.003472,8.07E-05
93,0.2645642713,357.5,77,Inner,R,3,Top,TRUE,-43.899062,0.002827016521,0.005722705314,7.38E-05,0.002909,0.005923,7.64E-05
107,1.316129991,38.5,10.31604391,Outer,L,7,Bottom,TRUE,-50.6784418,0.00249271137,0.001529468599,2.92E-05,0.002565,0.001583,3.02E-05
118,4.645532395,396,77,Outer,R,3,Bottom,FALSE,-43.94839415,0.005079689018,0.003804830918,8.14E-05,0.005227,0.003938,8.42E-05
112,2.435492437,352.341978,57.75,Inner,R,4,Middle,FALSE,-43.95952722,0.00548202138,0.003182608696,4.36E-05,0.005641,0.003294,4.51E-05
